2026-08-01T12:05:45.721133+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:05:45.721133+0500 | ERROR | app.main:match_candidates:233 | Error matching candidates: 'job_position_name'
2026-08-01T12:05:54.525394+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:05:54.531944+0500 | ERROR | app.main:match_candidates:233 | Error matching candidates: 'job_position_name'
2026-08-01T12:06:29.775314+0500 | INFO | app.main:shutdown_event:332 | Shutting down Resume Screener
2026-08-01T12:06:32.928990+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T12:06:52.392009+0500 | INFO | app.services.enhanced_processor:__init__:30 | ✅ Embedding model loaded
2026-08-01T12:06:52.436402+0500 | INFO | app.main:startup_event:313 | Starting Resume Screener in development mode
2026-08-01T12:06:52.436402+0500 | INFO | app.main:startup_event:314 | Database: sqlite:///./data/resume_screener.db
2026-08-01T12:06:52.436402+0500 | INFO | app.main:startup_event:319 | Ollama disabled, using rule-based extraction
2026-08-01T12:06:54.138036+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:06:54.138036+0500 | INFO | app.main:startup_event:324 | ✅ Loaded 9544 resumes
2026-08-01T12:06:54.243551+0500 | INFO | app.main:shutdown_event:332 | Shutting down Resume Screener
2026-08-01T12:06:56.214539+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T12:07:18.086925+0500 | INFO | app.services.enhanced_processor:__init__:30 | ✅ Embedding model loaded
2026-08-01T12:07:18.246789+0500 | INFO | app.main:startup_event:313 | Starting Resume Screener in development mode
2026-08-01T12:07:18.246789+0500 | INFO | app.main:startup_event:314 | Database: sqlite:///./data/resume_screener.db
2026-08-01T12:07:18.246789+0500 | INFO | app.main:startup_event:319 | Ollama disabled, using rule-based extraction
2026-08-01T12:07:22.258478+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:07:22.258478+0500 | INFO | app.main:startup_event:324 | ✅ Loaded 9544 resumes
2026-08-01T12:07:26.201129+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:07:26.202650+0500 | ERROR | app.main:get_dataset_info:185 | Error getting dataset info: 'job_position_name'
2026-08-01T12:07:30.523209+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:07:30.523209+0500 | ERROR | app.main:get_dataset_info:185 | Error getting dataset info: 'job_position_name'
2026-08-01T12:07:34.752950+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:07:34.762647+0500 | ERROR | app.main:get_job_positions:289 | Error getting job positions: 'job_position_name'
2026-08-01T12:07:38.464743+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:07:38.464743+0500 | ERROR | app.main:get_job_positions:289 | Error getting job positions: 'job_position_name'
2026-08-01T12:07:44.572581+0500 | INFO | app.services.enhanced_processor:load_data:53 | ✅ Loaded 9544 structured resumes
2026-08-01T12:07:44.580670+0500 | ERROR | app.main:match_candidates:233 | Error matching candidates: 'job_position_name'
2026-08-01T12:14:35.266570+0500 | INFO | app.main:shutdown_event:332 | Shutting down Resume Screener
2026-08-01T12:14:38.224234+0500 | INFO | app.core.logging_config:setup_logging:63 | Logging configured for development environment
2026-08-01T12:15:00.879654+0500 | INFO | app.services.enhanced_processor:__init__:33 | ✅ Embedding model loaded
2026-08-01T12:15:00.959941+0500 | INFO | app.main:startup_event:313 | Starting Resume Screener in development mode
2026-08-01T12:15:00.959941+0500 | INFO | app.main:startup_event:314 | Database: sqlite:///./data/resume_screener.db
2026-08-01T12:15:00.961953+0500 | INFO | app.main:startup_event:319 | Ollama disabled, using rule-based extraction
2026-08-01T12:15:01.266582+0500 | INFO | app.services.enhanced_processor:load_data:47 | ✅ Loaded 9544 structured resumes
